Year,Population,Total,Violent,Property,Murder,Forcible_Rape,Robbery,Aggravated_assault,Burglary
1960,179323175,3763223,288460,3095700,9110,17190,107840,154320,912100
1961,182992000,3702325,289390,3198600,8740,17220,106670,156760,949600
1962,185771000,4101098,301510,3450700,8530,17550,110860,164570,994300
1963,188483000,4347356,316970,3792500,8640,17650,116470,174210,1086400
1964,191141000,4868118,364220,4200400,9360,21420,130390,203050,1213200
1965,193526000,4989668,387390,4352000,9960,23410,138690,215330,1282500
1966,195576000,5589796,430180,4793300,11040,25820,157990,235330,1410100
1967,197457000,6265164,499930,5403500,12240,27620,202910,257160,1632100
1968,199399000,6987093,595010,6125200,13800,31670,262840,286700,1858900
1969,201385000,7742423,661870,6749000,14760,37170,298850,311090,1981900
