,0
url,0.0
creator,0.0
created_t,0.0
created_datetime,0.0
last_modified_t,0.0
last_modified_datetime,0.0
product_name,0.84
generic_name,99.22
quantity,97.38
packaging,98.34
packaging_tags,98.34
brands,1.78
brands_tags,1.78
categories,97.27
categories_tags,97.27
categories_en,97.27
origins,99.7
origins_tags,99.7
manufacturing_places,99.35
manufacturing_places_tags,99.35
labels,99.25
labels_tags,99.25
labels_en,99.25
emb_codes,99.89
emb_codes_tags,99.89
first_packaging_code_geo,99.99
cities,100.0
cities_tags,99.99
purchase_places,98.7
stores,99.09
countries,0.02
countries_tags,0.02
countries_en,0.02
ingredients_text,2.5
allergens,99.37
allergens_en,100.0
traces,99.59
traces_tags,99.59
traces_en,99.59
serving_size,3.01
no_nutriments,100.0
additives_n,2.5
additives,2.5
additives_tags,33.05
additives_en,33.05
ingredients_from_palm_oil_n,2.5
ingredients_from_palm_oil,100.0
ingredients_from_palm_oil_tags,99.95
ingredients_that_may_be_from_palm_oil_n,2.5
ingredients_that_may_be_from_palm_oil,100.0
ingredients_that_may_be_from_palm_oil_tags,96.53
nutrition_grade_uk,100.0
nutrition_grade_fr,21.44
pnns_groups_1,96.37
pnns_groups_2,96.34
states,0.0
states_tags,0.0
states_en,0.0
main_category,97.27
main_category_en,97.27
image_url,97.39
image_small_url,97.39
energy_100g,2.27
energy-from-fat_100g,99.47
fat_100g,2.63
saturated-fat_100g,17.58
-butyric-acid_100g,100.0
-caproic-acid_100g,100.0
-caprylic-acid_100g,100.0
-capric-acid_100g,100.0
-lauric-acid_100g,100.0
-myristic-acid_100g,100.0
-palmitic-acid_100g,100.0
-stearic-acid_100g,100.0
-arachidic-acid_100g,100.0
-behenic-acid_100g,100.0
-lignoceric-acid_100g,100.0
-cerotic-acid_100g,100.0
-montanic-acid_100g,100.0
-melissic-acid_100g,100.0
monounsaturated-fat_100g,86.1
polyunsaturated-fat_100g,86.07
omega-3-fat_100g,99.99
-alpha-linolenic-acid_100g,100.0
-eicosapentaenoic-acid_100g,100.0
-docosahexaenoic-acid_100g,100.0
omega-6-fat_100g,100.0
-linoleic-acid_100g,100.0
-arachidonic-acid_100g,100.0
-gamma-linolenic-acid_100g,100.0
-dihomo-gamma-linolenic-acid_100g,100.0
omega-9-fat_100g,100.0
-oleic-acid_100g,100.0
-elaidic-acid_100g,100.0
-gondoic-acid_100g,100.0
-mead-acid_100g,100.0
-erucic-acid_100g,100.0
-nervonic-acid_100g,100.0
trans-fat_100g,19.29
cholesterol_100g,20.01
carbohydrates_100g,2.55
sugars_100g,9.1
-sucrose_100g,100.0
-glucose_100g,100.0
-fructose_100g,100.0
-lactose_100g,99.98
-maltose_100g,100.0
-maltodextrins_100g,100.0
starch_100g,99.96
polyols_100g,100.0
fiber_100g,21.22
proteins_100g,2.53
casein_100g,100.0
serum-proteins_100g,100.0
nucleotides_100g,100.0
salt_100g,2.59
sodium_100g,2.59
alcohol_100g,99.94
vitamin-a_100g,23.74
beta-carotene_100g,100.0
vitamin-d_100g,95.91
vitamin-e_100g,99.95
vitamin-k_100g,99.76
vitamin-c_100g,22.57
vitamin-b1_100g,93.5
vitamin-b2_100g,93.7
vitamin-pp_100g,93.23
vitamin-b6_100g,96.87
vitamin-b9_100g,97.49
folates_100g,98.1
vitamin-b12_100g,97.97
biotin_100g,100.0
pantothenic-acid_100g,99.22
silica_100g,100.0
bicarbonate_100g,100.0
potassium_100g,85.46
chloride_100g,100.0
calcium_100g,23.47
phosphorus_100g,97.1
iron_100g,22.51
magnesium_100g,97.43
zinc_100g,98.04
copper_100g,98.92
manganese_100g,99.29
fluoride_100g,100.0
selenium_100g,99.74
chromium_100g,100.0
molybdenum_100g,100.0
iodine_100g,100.0
caffeine_100g,100.0
taurine_100g,100.0
ph_100g,100.0
fruits-vegetables-nuts_100g,99.98
fruits-vegetables-nuts-estimate_100g,99.99
collagen-meat-protein-ratio_100g,100.0
cocoa_100g,99.99
chlorophyl_100g,100.0
carbon-footprint_100g,100.0
nutrition-score-fr_100g,21.44
nutrition-score-uk_100g,21.44
glycemic-index_100g,100.0
water-hardness_100g,100.0
