categories,Australia,"Australia, US","Belgique, en:france","Belgique,France","Belgique,France,Pays-Bas,Royaume-Uni","Belgium, Suisse",Canada,"Canada, US",Cuba,Deutschland,"Deutschland,Vereinigte Staaten von Amerika","Dinamarca,Estados Unidos,España",España,"España, Estados Unidos",France,"France, Suisse","France, US","France,Belgique,Pays-Bas,Royaume-Uni","France,Canada","France,Italie","France,Polynésie française","France,Royaume-Uni","France,Suisse,États-Unis,Canada","France,United Kingdom","France,United Kingdom,United States","France,United States","France,États-Unis","France,États-Unis,Suisse","Frankreich,Deutschland",Germany,Hong Kong,Italy,Mexico,México,Netherlands,Royaume-Uni,"Royaume-Uni,France",Saudi Arabia,Serbia,"Spain,United Kingdom,Scotland","Switzerland,United States","UK,France",US,"US,France",United Kingdom,"United Kingdom,France",United States,"United States, en:france","United States, en:france, en:switzerland","United States,France","United States,Germany","United States,Netherlands",États-Unis
Aceite de coco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
"Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Cereales y patatas,Cereales y derivados,Semillas,Cereales en grano,Avena",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,
"Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Frutas y verduras y sus productos,Conservas,Alimentos de origen vegetal en conserva,Frutas y sus productos,Frutas en conserva,Conservas de frutas en zumo,Piña en conserva en zumo,Canned pineapple",,,,,,,,,,,,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Conserves,Aliments à base de plantes en conserve,Desserts,Fruits et produits dérivés,Fruits en conserve,Ananas en conserve,Fruits en conserve au jus,Ananas au jus",,,,,,,,,,,,,,,,,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Conserves,Aliments à base de plantes en conserve,Desserts,Fruits et produits dérivés,Fruits en conserve,Fruits au sirop,Poires au sirop",,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Conserves,Légumes et dérivés,Aliments à base de plantes en conserve,Légumes en conserve",,,,,,,,,,,,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Conserves,Légumes et dérivés,Aliments à base de plantes en conserve,Légumes en conserve,Tomates et dérivés,Tomates en conserve",,,,,,,,,,,,,,,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Conserves,Légumes et dérivés,Tomates et dérivés,Pulpes de tomates",,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Fruits et produits dérivés,Snacks salés,Apéritif,Produits déshydratés,Fruits à coques et dérivés,Aliments à base de plantes séchés,Fruits à coques,Fruits secs,Pistaches,Pistaches grillées,Pistaches salées",,,,,,,,,,,,,,,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Plats préparés,Soupes,Veloutés,Soupes de légumes,Veloutés de légumes",,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Epicerie,Condiments,Plantes condimentaires,Plantes aromatiques,Herbes aromatiques,Menthe,Bonbons à la menthe",,,,,,,,,,,,,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Fruits à coques et dérivés,Fruits à coques,Amandes,Amandes salées,Amandes grillées,Amandes grillées et salées",,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Fruits à coques et dérivés,Fruits à coques,Noix de cajou",,,,,,,,,,,,,,,,,,,,,,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Fruits à coques et dérivés,Fruits à coques,Noix,Cerneaux de noix,Noix décortiquées",,,,,,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Légumineuses et dérivés,Légumineuses,Fruits à coques et dérivés,Fruits à coques,Snacks salés,Apéritif,Cacahuètes,Pistaches,Fruits à coque salés,Pistaches salées",,,,,,,,,,,,,,,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner",,,,,,,,,,,,,,,77.8,,,,,,,,,,,,84.6,,,,,,,,,,,,,,,,,,,,,,,,,,
