code,main_ingredient
0000000003087,Unknown
0000000004530,Bananas
0000000004559,Peanuts
0000000016087,Organic hazelnuts
0000000016094,Organic polenta
0000000016100,Rolled oats
0000000016117,Organic long grain white rice
0000000016124,Org oats
0000000016193,Organic chocolate liquor
0000000016513,Organic expeller pressed
0000000016612,Organic adzuki beans
0000000016650,Organic refined durum semolina wheat flour
0000000016872,Roasted peanuts (peanuts
0000000016933,Organic golden flax seeds
0000000017497,Organic dry roasted pumpkin seeds
0000000018012,Organic rolled oats
0000000018050,Organic raw hazelnuts.
0000000018173,Organic bananas
0000000018197,Organic brown jasmine rice
0000000018227,Organic oat groats
0000000018265,Yogurt raisins
0000000018289,Chocolate stars (dehydrated cane juice
0000000018319,Organic rolled oats
0000000018340,Dry roasted almonds
0000000018357,Peanut butter (dry roasted peanuts
0000000018371,Ancient sea salt with natural trace minerals
0000000018388,Organic whole rolled oats
0000000018395,Whole cashews
0000000018401,Cashews
0000000018418,Almonds
0000000018449,Organic coconut
0000000018456,Organic red quinoa
0000000018500,Coconut bar (coconut
0000000018517,Organic semi-sweet chocolate chips (organic sugar
0000000018524,Organic whole rolled oates
0000000018555,Organic rolled oats
0000000018562,Raw cane demerara sugar.
0000000018579,Organic rolled oats
0000000018630,Organic coconut.
0000000018708,Organic black beans
0000000018753,Bluebird grain organic grain emmer farro
0000000018760,Organic hard red wheat berries.
0000000018869,Organic rolled oats
0000000018883,Dark chocolate coating (unsweetened chocolate
0000000018937,Organic rolled oats
0000000018944,Organic black chia seeds
0000000020114,Unknown
0000000024600,Unknown
0000000027083,pasteurized free range egg.sugar.blueberries (15%).rapeseed oil.potato starch.water.cornflour.thickener.e1422.palm oil.dried whey (milk).raising agent.e450
0000000027205,Unknown
0000000030038,Organic french green lentils
0000000030113,Unknown
0000000030540,Organic garbanzo beans
0000000030557,Organic green split peas
0000000030564,High fiber
0000000030571,Organic small white beans.
0000000030595,Organic grey-green lentils
0000000030625,Organic yellow split peas
0000000030649,Organic mung beans
0000000030717,Organic baby lima beans
0000000030724,Organic dark red kidney bean
0000000031097,Whole
0000000031141,Whole rolled oats
0000000031172,Whole rolled oats
0000000031233,Whole rolled oats
0000000031288,Rolled oats
0000000032070,Organic semolina flour
0000000032117,Egg pasta (refined durum semolina wheat flour
0000000032384,Refined enriched durum semolina wheat
0000000032858,Organic refined durum semolina wheat flour
0000000032896,Refined
0000000033015,Organic refined spelt flour.
0000000033060,Wheat
0000000033084,New zealand sea salt with natural trace elements.
0000000033268,Organic evaporated cane juice.
0000000033503,Organic refined wheat flour (niacin
0000000033572,Organic whole brown rice flour
0000000033589,Organic whole grain spelt flour
0000000033626,Organic whole rye flour.
0000000033640,Whole rolled oats
0000000033657,Organic whole grain hard red wheat flour
0000000033664,Organic soft white wheat flour.
0000000033688,Peanuts
0000000034135,Organic cashews.
0000000034142,Organic sesame seed with hulls
0000000034241,Organic hulled sesame seeds
0000000034265,Almonds
0000000034425,Spanish peanuts
0000000034432,Peanuts
0000000034449,Sunflower kernels
0000000034456,Cashews
0000000034470,Honey roast mixed nuts (peanuts
0000000034548,Organic walnuts
0000000034562,Organic raw sunflower seeds.
0000000034623,Organic raisins
0000000034715,Us grown organic pecans.
0000000034784,Dry roasted almonds.
0000000034791,Organic pumpkin seeds
0000000035071,100% cold pressed unrefined oil from the first pressing of organic olives.
0000000035170,Water
